Conforto / Acabamento,Consumo,Custo / Benefício,Design,Dirigibilidade,Manutenção,Performance,Marca,Modelo,Ano,Pages,Texto Positivo,Price,ranking,Value,vendas_normalizada
9.0,9.0,10.0,9.0,10.0,8.0,8.0,LADA,NIVA,1999,2,"
Pontos positivos: muito, muito mas muito bom mesmo.
                                                
Pontos positivos: valor
                                                
Pontos positivos: carro barato, baixo custo de manutenção e facilidade de adaptações, mecânica simples e barata, alagamento e atoleiros sem sustos, muuuuito forte, muito confiável, excelente carro para diversão e uso no dia-a-dia em trajetos médios e curtos.
                                                
Pontos positivos: nao atola  e nao fica em lugar nenhum
                                                
Pontos positivos: custo beneficio
                                                
Pontos positivos: 4x4 barato, robusto, mecanica simples, muitas peças intercambiaveis, diversão na certa.
                                                ",10497.0,,0.0,0.0
8.0,9.0,9.0,9.0,8.0,9.0,9.0,VOLKSWAGEN,KOMBI FURGÃO,2014,0,,35032.0,,0.0,0.0
3.5,7.5,6.5,5.0,4.5,7.0,7.0,FIAT,UNO PICK-UP,1998,0,,9904.0,,0.0,0.0
10.0,10.0,10.0,10.0,10.0,10.0,9.0,AUDI,Q7,2018,2,"
Pontos positivos: muito luxuoso, veloz e confort?vel. 
                                                
Pontos positivos: carro fornece um ótimo conforto para o motorista e passageiros, bom desempenho na cidade e estrada. baixo ruido e ótima estabilidade.
                                                
Pontos positivos: muito boa o design e o conforto acabamento ótimo melhor carro q já tive sei q tem melhores mais esse q7 me surpreendeu
                                                
Pontos positivos: muito bom esse carro. e muito bonito!
                                                
Pontos positivos: muito bom esse carro!!!
                                                
Pontos positivos: visibilidade total
                                                
Pontos positivos: design
                                                ",416990.0,,0.0,0.0
,,,,,,,FORD,RURAL,1982,0,,38800.0,,0.0,0.0
3.0,9.0,9.0,3.0,7.0,8.0,7.0,FIAT,UNO FURGÃO,2016,3,"
Pontos positivos: responde bem ao que se pede dele, tem bom preço, e é muito guerreiro.
                                                
Pontos positivos: economico
                                                
Pontos positivos: baixo custo manutenção, dirigibilidade ótima, facil estacionar cabe qualquer vaga, economico 18km/litro e resistente é uma pequena rural da toyota.
                                                
Pontos positivos: potência e agilidade.
                                                
Pontos positivos: peças são muito baratas, motor resistente
                                                
Pontos positivos: baixo consumo de combustivel 
                                                
Pontos positivos: resistente
                                                
Pontos positivos: veloz
                                                
Pontos positivos: carro barato
                                                
Pontos positivos: o mais barato dos carros, muito econômico
                                                
Pontos positivos: forte bem preparado para estrada silencioso quando bem cuidado no monemto em que presiso com nuita sabedoria tenho agilidade com ele e muito mais - ou seja resumindo forte rapido e silencioso
                                                
Pontos positivos: um carro que dá até para usar em camping como dormitório
                                                ",30252.0,,0.0,0.0
5.8,8.2,7.3,6.8,7.3,7.8,7.2,VOLKSWAGEN,BRASÍLIA,1981,5,"
Pontos positivos: todo bom
                                                
Pontos positivos: é um veículo muito bom, nunca te deixa na mão.
                                                
Pontos positivos:  otima
                                                
Pontos positivos: 2 porta-malas, disponível na versão de 4 portas, bancos traseiros rebatíveis e motor 1600l
                                                
Pontos positivos: quando nâo da problema e uma beleza
                                                
Pontos positivos: tem 2 porta-malas
                                                
Pontos positivos: bem conservado
                                                
Pontos positivos: bom custo mecanica barato
                                                
Pontos positivos: carro de baixo custo mecanico
                                                
Pontos positivos: carro de familia (era do avô da minha esposa),isento de ipva
                                                
Pontos positivos: quase nao quebra
                                                
Pontos positivos: mão de obra barata; peças de reposição mecânica fáceis de encontrar; manutenção mais barata,
não há registros de sequestro relâmpagos e não paga ipva.
                                                
Pontos positivos: é espaçosa e anda muito bem
                                                
Pontos positivos: por ser ecominco e de manuteção barata
                                                
Pontos positivos: manutenção muito barata e simples
                                                
Pontos positivos: espacoso e manutencão barata  
                                                
Pontos positivos: bom de lataria...
                                                
Pontos positivos: ele está bom de lataria, e de motor,nos ajuda muito.
                                                
Pontos positivos: está bom de motor e lataria.
                                                
Pontos positivos: ele nos ajuda muito, a lataria e motor estao bons
                                                
Pontos positivos: bom
                                                ",17800.0,,0.0,0.0
9.0,9.0,9.5,10.0,10.0,9.0,10.0,VOLKSWAGEN,FUSCA,2016,7,"
Pontos positivos: confiança no uso diário ou não, excelente durabilidade, baixo custo de manutenção, etc.
                                                
Pontos positivos: resistência, funcionalidade, economia, durabilidade, manutenção barata, design agrada à imensa maioria das pessoas, tamanho reduzido e otimizado para até cinco ocupantes.
                                                
Pontos positivos: motor incrivelmente forte (para categoria), acabamento e design muito bons, ótima dirigibilidade.
                                                
Pontos positivos: bonito, confortável, motor forte, estável, presença.
                                                
Pontos positivos: consumo baixo
                                                
Pontos positivos: tudo de bom
                                                
Pontos positivos: economico
                                                
Pontos positivos: raridade, um carro admirado onde passa, fácil de dirigir, direção leve, um carro forte pesar da aparência.
                                                
Pontos positivos: o fusca e zero sou segundo dono, nunca foi batido e nunca levou multa estou muito feliz logo colocarei placa preta.
                                                
Pontos positivos: câmbio/diferencial/suspensão
baixo custo de manutenção
torque em baixa rotação
                                                
Pontos positivos: tudo
                                                
Pontos positivos: mecanica barata
                                                
Pontos positivos: mecanica robusta
                                                
Pontos positivos: nunca tive que gastar mais que 50 reais nas manutenções que efetuei com ele, vai em qualquer lugar, qualquer um entende, um carro pra enfrentar qualquer parada difícil.
                                                
Pontos positivos: manutenção barata,baixo consumo,veículo atraente devido a cor(amarelo bôra) e estado de conservação.
                                                
Pontos positivos: é um carro barato, com manutenção barata e simples e que, em quase toda esquina, alguém sabe mexer; econômico, mesmo dentro dos padrões atuais e desde que dirigido sem esticar muito as marchas; ótimo como aprendizado e primeiro carro

                                                
Pontos positivos: so economico.
                                                
Pontos positivos: so economico.
                                                
Pontos positivos: agil, compacto e como tem motor preparado (140cv) é muito rápido 0-100 em 8s e máxima de 190km/h (real)
                                                
Pontos positivos: manutenção barata
                                                
Pontos positivos: bem economico. gasta muito pouco em manutenção e em combustivel.
bem forte melhor que muito carro por ai.
desenvolve com facilidade.
                                                
Pontos positivos: muito comfortável
                                                
Pontos positivos: nenhum
                                                
Pontos positivos: design unico, charmoso, facil manutençao
                                                
Pontos positivos: lindo fusquinha saia e blusa com motor 1200
                                                
Pontos positivos: manutenção barata,robustez e liquidez valor de revenda atualmente muito boa
                                                
Pontos positivos: é lindo
                                                
Pontos positivos: econômico,emperfeito estado,manutenção barata,bom para pequenas viagens
                                                
Pontos positivos: no meu caso, sou suspeita em falar, pois herdei o carro que foi de uma única dona, pois sendo todo original, é um ótimo carro, pena o gasto, por ser muito velho...
                                                
Pontos positivos: eguinição eletrica, radas liga leve,alternador,bancos reclinaveis...etc
                                                
Pontos positivos: economico ( 1300l ) quase como os plasticomoveis de hoje em dia
                                                
Pontos positivos: manutenção barata e um consumo razoavel
                                                
Pontos positivos: bom de dirigir..manutencao facil e barata...carro forte bom para viagem
                                                
Pontos positivos:     manutenã§ã£o, consumo, robusto e agil.
                                                
Pontos positivos: estilo, diversão, simpatia, charme, forte.
                                                ",107352.0,,0.0,0.0
5.0,0.0,5.0,10.0,7.0,8.0,7.0,FIAT,FIORINO,2019,4,"
Pontos positivos: bom carro para trabalho com bastante capacidade de carga.
                                                
Pontos positivos: carro muito bom para trabalho com design muito bonito para a categoria.
                                                
Pontos positivos: espaço 
                                                
Pontos positivos: ótimo para trabalhar, tem um desempenho muio bom na cidade e na estrada.
                                                
Pontos positivos: para o meu trabalho,transporte de cargas de pequenos volumes,é excelente muito agil,super economico,faço 17 km por litro de gasolina e 12 com etanol esta com 110.000,e até agora,só troquei oleo filtros,parabriza e pneus,com certeza ainda terei outro. 
                                                
Pontos positivos: custo beneficio muito bom, ale de ser versatil para qualquer transporte, seja ela particular ou agregado.
                                                
Pontos positivos: otimo carro para trabalho economico,rapido,não cai a velocidade mesmo estando bem pesados
                                                
Pontos positivos: muito espaço economico boa suspençao ate gostoso de dirigir para um utilitario custo de manutençao razoavel
                                                
Pontos positivos: manutenção barata
                                                
Pontos positivos: por ser um utilitário, muito boa a dirigibilidade.
                                                
Pontos positivos: boa dirigibilidade com carga na estrada.boa pegada.
                                                
Pontos positivos: otimo para carga, custo beneficio,dirigibilidade muito boa e o melhor perfomance maravilhosa.
                                                
Pontos positivos: carro muito bom, pois aguenta de tudo!!
                                                
Pontos positivos: carro lindo
                                                
Pontos positivos: não da manutenção
                                                
Pontos positivos: utilitario
                                                
Pontos positivos: 9
                                                
Pontos positivos: ótimo para acomodar pequenas cargas e boa suspensão para cargas mais pesadas.
apesar de ser um carro 1.5, ele é bem econômico, mesmo com 250 mil km ainda faz 12 km por litro de gasolina.
                                                
Pontos positivos:   e um carro otimo para minha área de trabalho pois tem conforto estabilidade e não amuito gastador.
                                                ",60070.0,,0.0,0.0
6.5,8.5,9.0,6.2,9.0,9.5,9.2,FORD,COURIER,2013,5,"
Pontos positivos: resist?ncia e performance sem igual.
                                                
Pontos positivos: carro vers?til, qualquer terreno, tem uma ca?amba com boas dimens?es, baixa manuten??o, econ?mico, o ar condicionado funciona bem, a dh boa, a acelera??o e a retomada ? muito boa, acima da m?dia dos carros.
                                                
Pontos positivos: geral motor,cambio,lataria,carroceria espa?osa,suspens?o cem porcento 100%,economia ecelente.um utilitario campe?o.
                                                
Pontos positivos: perfeito para trabalhar na cidade
                                                
Pontos positivos: cambio, motor, capacidade de carga e de mobilidade da carga
                                                
Pontos positivos: estabilidade-tamanho cacamba-dirigibilidade, firme em estradas de terra.
                                                
Pontos positivos: carro forte, robusto, ótimo para trabalhos que exigem força e economia do veiculo, suspensão excelente. 
                                                
Pontos positivos: caçamba,motor e espaço na cabine.
                                                
Pontos positivos: economia,comforto,força e capacidade de carga.
                                                
Pontos positivos: otimo moto faz juizo ao nome raça forte!!
a caçanba a melho da categoria muito espaço e suporta muito peso!!
                                                
Pontos positivos: excelente carro utilitário para trabalho pesado, excelente na rodovia, confiabilidade e potência são o forte desse carro
                                                
Pontos positivos: conforto, consumo, mecanica silenciosa e confiável, tamanho da caçamba, dirigibilidade, torque
                                                
Pontos positivos: pra quem não está procurando design inovador ou beleza. este é o carro.
pau pra toda obra.caçamba melhor que as concorrentes, bem maior e de facil distribuição. e detalhe seguro muito mais barato. foi o que me fez comprar a courier.
                                                
Pontos positivos: caçamba maior que de outros carros
                                                
Pontos positivos: carroceira grande
                                                
Pontos positivos: econômico, baixa manutenção, seguro barato, confortável, bom espaço interno e na caçamba, robusto.
                                                
Pontos positivos: economia
                                                
Pontos positivos: cumpre o que promete
                                                
Pontos positivos: economia, versatilidade.
                                                
Pontos positivos: bom para trabalho
                                                
Pontos positivos: conforto
baixo consumo
                                                
Pontos positivos: para transportes coisas é muito bom

                                                
Pontos positivos: tem boa robustes para cargas e serviço na categoria
                                                
Pontos positivos: cabine espaçosa
                                                ",24940.0,,0.0,0.0
