Conforto / Acabamento,Consumo,Custo / Benefício,Design,Dirigibilidade,Manutenção,Performance,Marca,Modelo,Ano,Pages,Texto Positivo
"9,1","8,1","8,4","9,6","9,7","8,4","8,7",Toyota,Yaris Hatch,2019,2,"
Pontos positivos: confortavel, macio, cvt impressionante, silencioso
                                                
Pontos positivos: design, conforto, itens de segurança que normalmente não identificamos neste segmento
                                                
Pontos positivos: silencioso, confortável, econômico, completíssimo, espaçoso na medida certa. 
                                                
Pontos positivos: o carro é muito silencioso e macio, o cambio cvt é ótimo, ótimo porta malas, ótimo estaço interno
                                                
Pontos positivos: alguns ítens de série interessantes nesta faixa de preço, como espelho anti ofuscante, ar digital . tem boa dirigibilidade.
                                                "
"9,3","7,8","8,7","9,2","9,3","8,1","9,2",Hyundai,i30 CW,2012,3,"
Pontos positivos: um remanescente de alto nivel dessa categoria que foi vilanizada no br, com qualquer carro sendo chamado de suv e aumentando as vendas e o lucro por isso. perua com excelente cxb, ótimo acabamento, e super completa de série com 8 airbgas, controle de estabilidade, ar digital e automatico, retrovisores retráteis, teto solar, piloto automatico, aro 17, bancos e volantes de couro, sensor de estacionamento, sensor de chuva, farois de neblina, cambio automatico e motor 2.0l, excelente retomadas, ótimo para estradas, isofix, porta malas com fechamento retrátil, alarme de fabrica, luzes acendem ao destravar portas. a minha esta com 55milkm e ate agora excelente em tudo, sem defeitos, manutenção e seguro com preços bons pelo nivel do carro e do motor.
                                                
Pontos positivos: otimo carro, confortável, espaçoso.
                                                
Pontos positivos: ha muitos pontos positivos. se nao tivesse que mudar nao venderia. consume de 8,5 km/l na cidade eh bem acima da media para um carro automatico. estrada entre 9.5 e 10.3 km/l. o espaco interno eh excelente, principalmente para as pessoas no banco de tras. maior do que os espacos dos demais nesta categoria. a manutencao nao chega a ser cara para um carro na faixa dos $ 65 000. eh claro que eh bom nao sair quebrando o carro porque as peca sao mais caras que a de um gol, nao eh?
                                                
Pontos positivos:

Pontos positivos: veículo extremamente espaçoso, para todos os passageiros e para carregar malas, confortável, bonito e elegante. muito bom de dirigir, anda macio, segura muito nas curvas, sem barulhos. motor potente com ronco esportivo se pisar fundo. consumo em equilíbrio com o motor 2.0. manutenções só mesmo a de rotina, óleo e filtros, com preço muito baixo. seguro muito barato. é um excelente carro, recomendo para qualquer um!
                                                "
"8,8","8,4","8,8","9,4","9,3","8,9","9,3",Honda,Civic,2018,7,"
Pontos positivos: conforto, dirigibilidade, seguran?a....t
                                                
Pontos positivos:

Pontos positivos: dirigibilidade excelente, baixo consumo para a categoria, interior impec?vel, baixo ru?do interno, interface multimidia completo.
                                                
Pontos positivos: melhor carro sedan
                                                
Pontos positivos: manuten??o acess?vel, super confort?vel, pe?as f?cil de serem achadas, dirigibilidade boa, f?cil revenda
                                                "
"9,0","8,8","8,9","8,5","9,1","8,4","8,6",Nissan,Versa,2019,7,"
Pontos positivos: eu tinha uma nissan tiida e ele ficou pequeno 
optamos por um versa por seu tamanho e espa?o interno e porta-malas.
economia excelente tanto no etanol quanto na gasolina
dire??o el?trica excelente
ate agora s? fiz troca de ?leo e filtros e todas na pr?pria nissan
completo com cinto de 3 pontos at? no acento do meio no banco traseiro  

                                                
Pontos positivos: super conservado
                                                
Pontos positivos: conforto
                                                
Pontos positivos: a dirigibilidade é incrível, silencioso. carro pra família. bom desempenho nas estradas mal conservadas da cidade e na estrada a sensação de que você está plainando!!! rodei somente 105 km, mas já havia realizado o test drive e gamei no carro!!!

                                                
Pontos positivos: baixo consumo de combust?vel.
                                                "
"9,6","8,1","8,7","8,6","9,4","8,4","8,6",Toyota,Land Cruiser Prado,2010,2,"
Pontos positivos: conforto, espa?osa, desenvolve muito bem para um ve?culo pesado, passa a sensa??o de seguran?a, ela ? bem alta permitindo visualizar o ve?culo da frente e os outros ? frente permitindo mais seguran?a em tr?nsito de cidade, voc? prev? oque ir? acontecer, ? a mesma vis?o segura que se tem ao andar com moto trail alta. manuten??o f?cil e barata.
                                                
Pontos positivos: conforto, resistencia, durabilidade.
                                                
Pontos positivos: conforto ao dirigir, na terra ela filtra os buracos. os 135 vc nao desaponta.
                                                
Pontos positivos: muito confortável; espaço interno, ergonomia, maciez no rodar excelentes, ainda capacidade off-road surpreendente e manutenção praticamente zero! fabricação japonesa, autentico land cruiser. ao lado do camry, os melhores carros já comercializados pela toyota no brasil. pena que não temos as outras land cruiser disponíveis no nosso mercado.
                                                
Pontos positivos: conforto, baixa manutenção, dirigibilidade excelente em qualquer estrada.
                                                "
"9,3","7,6","9,2","9,6","9,4","7,2","9,9",Ford,Fusion,2018,7,"
Pontos positivos: hibrido, livre de rodízio (cidade de sp), devolução de 40% do ipva (ainda não recebi, mas...), conforto, segurança e economia.
                                                
Pontos positivos: conforto, pouca manuten??o e uma estabilidade muito boa.
                                                
Pontos positivos:

Pontos positivos: tudo! carro espetacular.
                                                
Pontos positivos: desenho do carro é muito bonito e chama bastante atenção. a performance é ótima. realizei uma viagem de 800 km e foi como se eu estivesse em outra dimensão em relação aos demais carros da estrada. a agilidade e segurança ao dirigir me impressionaram. o acabamento interno é muito bom. a versão de 2017 teve a suspensão um pouco elevada em relação à anterior, não tive problemas em raspar o fundo do carro tendo uma condução cuidadosa nas ruas. o recurso do piloto automático adaptativo é muito interessante para uso em avenidas. o recurso do sistema auxiliar de estacionamento é muito bom, consegue estacionar em vagas bastante justas.
                                                "
"9,6","10,0","9,9","9,6","10,0","10,0","10,0",Suzuki,Vitara,2019,3,"
Pontos positivos:

Pontos positivos:

Pontos positivos: consumo, dirigibilidade, prazer em dirigir desempenho fantastico, tração 4x4 perfeita
                                                
Pontos positivos: segurança, economia de combustível, design perfeito!
                                                
Pontos positivos: dirigibilidade, economia, conforto, beleza e desempenho
                                                "
"8,8","9,6","9,1","8,8","9,6","9,5","9,4",Volkswagen,Up!,2019,7,"
Pontos positivos: ótimo carro, econômico, potente, seguro, fácil de manobrar e seu espaço interno surpreende, faz com gasolina +- 900km com um tanque . outra vantagem é o preço do seguro no meu caso ficou 1300 completo.

                                                
Pontos positivos: o carro nao gasta gasolina. faz 13.5 na cidade e 20 na rodovia. manutencao muito barata. revisao de 50000km 440 pila por ser pqn ainda e muito eapaçoso por dentro. mala e boa poia te o separador pois se trata da versao high. maps more muito bom gps 100%.
                                                
Pontos positivos: carro muito bom, ele é um foguete para andar. boa estabilidade, econômico.   
                                                
Pontos positivos: consumo baixo. dirigibilidade ?tima.
                                                
Pontos positivos: econômico na cidade e estrada, motor responde bem, ar-condicionado bom, som muito bom.
                                                "
"7,9","7,1","8,9","7,7","9,1","7,8","8,7",Nissan,Livina,2014,6,"
Pontos positivos: carro grande, confort?vel, econ?mico por ser grande melhor carro que eu j? tive.
                                                
Pontos positivos: estabilidade na estrada
                                                
Pontos positivos: manuten??o, dirigibilidade, espa?o interno e do porta malas
                                                
Pontos positivos: um veículo muito resistente, e bastante ágil.
                                                
Pontos positivos: carro muito gostoso de dirigir, a suspensão é muito bem acertada. ar condicionado muito bom e o acabamento em couro inclusive nas portas é show. já tive um honda e uma tucson, sem dúvida a livina achei muito mais confortável.
                                                "
"9,4","8,8","9,1","8,8","9,5","8,4","9,4",Nissan,Tiida,2013,7,"
Pontos positivos: conforto, praticidade e espa?o.
                                                
Pontos positivos:

Pontos positivos: tudo de positivo
                                                
Pontos positivos: confortável,boa dirigibilidade, ótima retomada.
                                                
Pontos positivos: carro nota 10 nissan japonesa não dá outra... potente, economico pro motor que tem, muito confortavel, mecanica confiável ou seja compra certa recomendo muito satisfeito não saio por muitos anos deste carro...
                                                "
